#Theta,Phi,Pol,Theta,Phi,Mag
0,0,0,3.048623437,3.141592654,0.377851763
0,0,1.570796327,3.103254337,0,0.651648847
0.017453293,0,0,2.926460517,3.141592654,0.311828203
0.017453293,0,1.570796327,3.050303729,0,0.636590726
0.034906585,0,0,3.137501069,3.141592654,0.696675832
0.034906585,0,1.570796327,2.989096055,0,0.598849705
0.052359878,0,0,3.104084633,0,0.834897219
0.052359878,0,1.570796327,2.90808514,0,0.536623548
0.06981317,0,0,3.081328721,0,0.868656891
0.06981317,0,1.570796327,2.78435777,0,0.451920981
0.087266463,0,0,3.060625351,0,0.877163642
0.087266463,0,1.570796327,2.588544461,0,0.370066862
0.104719755,0,0,3.047366558,0,0.841000675
0.104719755,0,1.570796327,2.058506553,0,0.212823478
0.122173048,0,0,3.028036516,0,0.83582318
0.122173048,0,1.570796327,0.920873245,0,0.211774367
0.13962634,0,0,3.010287785,0,0.831679182
0.13962634,0,1.570796327,0.525636956,0,0.325431827
0.157079633,0,0,2.991673145,0,0.826065896
0.157079633,0,1.570796327,0.374946868,0,0.403824894
0.174532925,0,0,2.973540963,0,0.822841771
0.174532925,0,1.570796327,0.349836349,0,0.415411997
0.191986218,0,0,2.955070003,0,0.819443222
0.191986218,0,1.570796327,0.387837267,0,0.373122098
0.20943951,0,0,2.936982559,0,0.815511337
0.20943951,0,1.570796327,0.491570976,0,0.310585698
0.226892803,0,0,2.919272485,0,0.812178947
0.226892803,0,1.570796327,0.6793353,0,0.251545486
0.244346095,0,0,2.901810844,0,0.80878962
0.244346095,0,1.570796327,0.953373146,0,0.212234162
0.261799388,0,0,2.884702725,0,0.804923698
0.261799388,0,1.570796327,1.262842722,0,0.200030254
0,0.261799388,0,3.048623437,3.141592654,0.377851763
0,0.261799388,1.570796327,3.103254337,0,0.651648847
0.017453293,0.261799388,0,2.920674709,3.074419923,0.307298359
0.017453293,0.261799388,1.570796327,3.051915476,0.079298732,0.63734103
0.034906585,0.261799388,0,3.125045007,2.202654721,0.676472615
0.034906585,0.261799388,1.570796327,2.992906226,0.101596383,0.601749388
0.052359878,0.261799388,0,3.103190347,0.439727044,0.8279104
0.052359878,0.261799388,1.570796327,2.916105004,0.111878588,0.543108691
0.06981317,0.261799388,0,3.080513876,0.347660484,0.865864603
0.06981317,0.261799388,1.570796327,2.801515275,0.117411393,0.462381093
0.087266463,0.261799388,0,3.060008785,0.31988643,0.876364893
0.087266463,0.261799388,1.570796327,2.616251021,0.119792951,0.376349764
0.104719755,0.261799388,0,3.043621984,0.320083622,0.84560492
0.104719755,0.261799388,1.570796327,2.143158475,0.128993779,0.216868221
0.122173048,0.261799388,0,3.025970007,0.314304092,0.839293843
0.122173048,0.261799388,1.570796327,1.145110139,0.14249007,0.187482219
0.13962634,0.261799388,0,3.008728406,0.310546944,0.831397503
0.13962634,0.261799388,1.570796327,0.589793554,0.160852301,0.303674055
0.157079633,0.261799388,0,2.989562937,0.304809189,0.826573932
0.157079633,0.261799388,1.570796327,0.404703476,0.19162306,0.389145486
0.174532925,0.261799388,0,2.971279891,0.301076028,0.821911577
0.174532925,0.261799388,1.570796327,0.35522055,0.227100314,0.420342035
0.191986218,0.261799388,0,2.95267615,0.297430331,0.818828359
0.191986218,0.261799388,1.570796327,0.378386002,0.259057423,0.391633322
0.20943951,0.261799388,0,2.934219092,0.294551254,0.814827643
0.20943951,0.261799388,1.570796327,0.460507064,0.284428061,0.333937143
0.226892803,0.261799388,0,2.916252454,0.292260067,0.811167823
0.226892803,0.261799388,1.570796327,0.617943956,0.298646183,0.273190801
0.244346095,0.261799388,0,2.898581115,0.29024973,0.807939092
0.244346095,0.261799388,1.570796327,0.861272783,0.303793562,0.226886061
0.261799388,0.261799388,0,2.881204093,0.288547727,0.804416882
0.261799388,0.261799388,1.570796327,1.162074557,0.30351758,0.205290547
0,0.523598776,0,3.048623437,3.141592654,0.377851763
0,0.523598776,1.570796327,3.103254337,0,0.651648847
0.017453293,0.523598776,0,2.914116787,3.013083911,0.302133336
0.017453293,0.523598776,1.570796327,3.056597667,0.161620169,0.639388127
0.034906585,0.523598776,0,3.098363422,2.409543327,0.604184452
0.034906585,0.523598776,1.570796327,3.003659727,0.209875959,0.609619971
0.052359878,0.523598776,0,3.100157355,0.908827183,0.80029691
0.052359878,0.523598776,1.570796327,2.937768151,0.232674221,0.560921295
0.06981317,0.523598776,0,3.078044508,0.696569486,0.854374558
0.06981317,0.523598776,1.570796327,2.845946361,0.245583841,0.492434755
0.087266463,0.523598776,0,3.057795988,0.637424397,0.871789009
0.087266463,0.523598776,1.570796327,2.702615687,0.253267076,0.409108863
0.104719755,0.523598776,0,3.037284628,0.607503688,0.875639232
0.104719755,0.523598776,1.570796327,2.49242878,0.254674188,0.340978621
0.122173048,0.523598776,0,3.022775116,0.621866947,0.838522002
0.122173048,0.523598776,1.570796327,1.863842961,0.276053144,0.202329549
0.13962634,0.523598776,0,3.002669488,0.606171569,0.835630728
0.13962634,0.523598776,1.570796327,0.92132941,0.31047167,0.218730696
0.157079633,0.523598776,0,2.984713838,0.600490421,0.827360202
0.157079633,0.523598776,1.570796327,0.549143446,0.348058735,0.331839764
0.174532925,0.523598776,0,2.964874515,0.591380658,0.822438707
0.174532925,0.523598776,1.570796327,0.414349129,0.404268037,0.400009373
0.191986218,0.523598776,0,2.945743753,0.585538866,0.816244283
0.191986218,0.523598776,1.570796327,0.375757157,0.470591882,0.423282401
0.20943951,0.523598776,0,2.926786529,0.580192464,0.81250316
0.20943951,0.523598776,1.570796327,0.405820508,0.52502958,0.397745358
0.226892803,0.523598776,0,2.907759296,0.575466998,0.808790985
0.226892803,0.523598776,1.570796327,0.490456396,0.567080637,0.344727132
0.244346095,0.523598776,0,2.889215645,0.571800861,0.804866892
0.244346095,0.523598776,1.570796327,0.64105097,0.593908764,0.287472603
0.261799388,0.523598776,0,2.871208731,0.568774952,0.80146862
0.261799388,0.523598776,1.570796327,0.868479948,0.606324807,0.242140863
0,0.785398163,0,3.048623437,3.141592654,0.377851763
0,0.785398163,1.570796327,3.103254337,0,0.651648847
0.017453293,0.785398163,0,2.930675336,2.952558332,0.313926845
0.017453293,0.785398163,1.570796327,3.063911291,0.250428625,0.642276902
0.034906585,0.785398163,0,3.029490184,2.634536182,0.454442492
0.034906585,0.785398163,1.570796327,3.019611685,0.33330354,0.620208433
0.052359878,0.785398163,0,3.09000594,1.517279908,0.718585934
0.052359878,0.785398163,1.570796327,2.967542191,0.373745551,0.585262487
0.06981317,0.785398163,0,3.073088682,1.07646536,0.817778082
0.06981317,0.785398163,1.570796327,2.901637819,0.397590327,0.535595502
0.087266463,0.785398163,0,3.053543893,0.960074727,0.853727158
0.087266463,0.785398163,1.570796327,2.810284876,0.413408548,0.470898517
0.104719755,0.785398163,0,3.033975279,0.911063623,0.867981414
0.104719755,0.785398163,1.570796327,2.670745055,0.424884777,0.394452728
0.122173048,0.785398163,0,3.01403494,0.883030092,0.872518744
0.122173048,0.785398163,1.570796327,2.446408847,0.432878485,0.319909479
0.13962634,0.785398163,0,2.995261809,0.87799225,0.856230767
0.13962634,0.785398163,1.570796327,2.208619977,0.43184809,0.272601292
0.157079633,0.785398163,0,2.977585085,0.88104593,0.832633206
0.157079633,0.785398163,1.570796327,1.301979248,0.47798995,0.213858754
0.174532925,0.785398163,0,2.95610615,0.864789037,0.829987064
0.174532925,0.785398163,1.570796327,0.755541942,0.528356637,0.273801328
0.191986218,0.785398163,0,2.936315351,0.859417123,0.817616265
0.191986218,0.785398163,1.570796327,0.511505271,0.596892732,0.376039835
0.20943951,0.785398163,0,2.916063588,0.851567423,0.812023744
0.20943951,0.785398163,1.570796327,0.443474948,0.659648201,0.424935693
0.226892803,0.785398163,0,2.895044592,0.844297575,0.805714259
0.226892803,0.785398163,1.570796327,0.428360883,0.735823827,0.42940794
0.244346095,0.785398163,0,2.874850104,0.839597131,0.799245604
0.244346095,0.785398163,1.570796327,0.465021027,0.805066348,0.403283851
0.261799388,0.785398163,0,2.855471751,0.835853978,0.794822806
0.261799388,0.785398163,1.570796327,0.556276121,0.853098158,0.357313052
0,1.047197551,0,3.048623437,3.141592654,0.377851763
0,1.047197551,1.570796327,3.103254337,0,0.651648847
0.017453293,1.047197551,0,2.971383028,2.881084595,0.346689919
0.017453293,1.047197551,1.570796327,3.073222522,0.350206877,0.645377814
0.034906585,1.047197551,0,2.900565,2.722440558,0.31130895
0.034906585,1.047197551,1.570796327,3.038495373,0.484498739,0.63067879
0.052359878,1.047197551,0,3.013428554,2.304329902,0.477556817
0.052359878,1.047197551,1.570796327,2.999526341,0.553514755,0.608540717
0.06981317,1.047197551,0,3.05060576,1.682246561,0.668987234
0.06981317,1.047197551,1.570796327,2.954504871,0.594504918,0.578820376
0.087266463,1.047197551,0,3.041502556,1.372154479,0.770084143
0.087266463,1.047197551,1.570796327,2.900024203,0.622237741,0.539638982
0.104719755,1.047197551,0,3.024911206,1.249503736,0.818525614
0.104719755,1.047197551,1.570796327,2.829900433,0.643115199,0.490084228
0.122173048,1.047197551,0,3.006632323,1.19134619,0.842773619
0.122173048,1.047197551,1.570796327,2.732694091,0.660592063,0.430315508
0.13962634,1.047197551,0,2.987529474,1.157874417,0.855027178
0.13962634,1.047197551,1.570796327,2.586045305,0.676920673,0.362718558
0.157079633,1.047197551,0,2.967725159,1.135400977,0.860422517
0.157079633,1.047197551,1.570796327,2.346766122,0.694069693,0.295142012
0.174532925,1.047197551,0,2.947166008,1.118421585,0.861196136
0.174532925,1.047197551,1.570796327,1.957050501,0.713351109,0.247079267
0.191986218,1.047197551,0,2.925659557,1.104600234,0.858333161
0.191986218,1.047197551,1.570796327,1.464713124,0.735428273,0.247147018
0.20943951,1.047197551,0,2.902900561,1.092639195,0.852345673
0.20943951,1.047197551,1.570796327,1.087561897,0.758077822,0.294955934
0.226892803,1.047197551,0,2.881893496,1.093434429,0.830529932
0.226892803,1.047197551,1.570796327,0.899547717,0.774010987,0.333073838
0.244346095,1.047197551,0,2.856977395,1.086430346,0.814924617
0.244346095,1.047197551,1.570796327,0.600872196,0.877356999,0.402743397
0.261799388,1.047197551,0,2.836885944,1.088900378,0.794855008
0.261799388,1.047197551,1.570796327,0.551329637,0.927060704,0.455866258
0,1.308996939,0,3.048623437,3.141592654,0.377851763
0,1.308996939,1.570796327,3.103254337,0,0.651648847
0.017453293,1.308996939,0,3.01140218,2.791522609,0.378936873
0.017453293,1.308996939,1.570796327,3.083794774,0.467518234,0.648052139
0.034906585,1.308996939,0,2.955696569,2.609055216,0.359524234
0.034906585,1.308996939,1.570796327,3.05789954,0.682584308,0.639307721
0.052359878,1.308996939,0,2.887576661,2.493504782,0.333501724
0.052359878,1.308996939,1.570796327,3.02873709,0.799943177,0.625106574
0.06981317,1.308996939,0,2.832435437,2.385965027,0.323160954
0.06981317,1.308996939,1.570796327,2.996474926,0.874888267,0.605514632
0.087266463,1.308996939,0,2.824248788,2.251313112,0.347301603
0.087266463,1.308996939,1.570796327,2.960398372,0.927419318,0.581306464
0.104719755,1.308996939,0,2.851569903,2.084627608,0.40558844
0.104719755,1.308996939,1.570796327,2.919406037,0.965921152,0.553444818
0.122173048,1.308996939,0,2.877970322,1.912576852,0.479578274
0.122173048,1.308996939,1.570796327,2.871791939,0.995237566,0.522055876
0.13962634,1.308996939,0,2.889894035,1.76595209,0.550216906
0.13962634,1.308996939,1.570796327,2.814608567,1.019082647,0.486486319
0.157079633,1.308996939,0,2.889751166,1.655716718,0.608401924
0.157079633,1.308996939,1.570796327,2.74293385,1.040155766,0.446145648
0.174532925,1.308996939,0,2.88192762,1.577063023,0.652887372
0.174532925,1.308996939,1.570796327,2.648579475,1.060398987,0.401198407
0.191986218,1.308996939,0,2.869324345,1.521177608,0.685553467
0.191986218,1.308996939,1.570796327,2.518182777,1.081238231,0.353334968
0.20943951,1.308996939,0,2.853495552,1.480643992,0.708791954
0.20943951,1.308996939,1.570796327,2.331143857,1.103869975,0.306831385
0.226892803,1.308996939,0,2.835247417,1.450302343,0.724574657
0.226892803,1.308996939,1.570796327,2.064656585,1.129201892,0.270173682
0.244346095,1.308996939,0,2.814915289,1.426854079,0.734367932
0.244346095,1.308996939,1.570796327,1.723218792,1.158138987,0.255754753
0.261799388,1.308996939,0,2.792606956,1.408236177,0.739220168
0.261799388,1.308996939,1.570796327,1.376444514,1.191330781,0.271841967
0,1.570796327,0,3.048623437,3.141592654,0.377851763
0,1.570796327,1.570796327,3.103254337,0,0.651648847
0.017453293,1.570796327,0,3.039260431,2.68034927,0.384209946
0.017453293,1.570796327,1.570796327,3.094853662,0.613000822,0.649769592
0.034906585,1.570796327,0,3.018123614,2.361986453,0.4034614
0.034906585,1.570796327,1.570796327,3.075434589,0.960576315,0.644149171
0.052359878,1.570796327,0,2.995772317,2.167357635,0.435784968
0.052359878,1.570796327,1.570796327,3.051056805,1.145042674,0.634799868
0.06981317,1.570796327,0,2.977657959,2.043862881,0.480623832
0.06981317,1.570796327,1.570796327,3.023632241,1.254676436,0.621811131
0.087266463,1.570796327,0,2.964783655,1.959196271,0.535935248
0.087266463,1.570796327,1.570796327,2.993420289,1.327155672,0.605322797
0.104719755,1.570796327,0,2.955750266,1.896575273,0.597752736
0.104719755,1.570796327,1.570796327,2.960051938,1.379170283,0.585532232
0.122173048,1.570796327,0,2.948444545,1.847495193,0.660716134
0.122173048,1.570796327,1.570796327,2.922827141,1.418974502,0.562629655
0.13962634,1.570796327,0,2.941037351,1.807554347,0.719471001
0.13962634,1.570796327,1.570796327,2.880605602,1.451218289,0.536746515
0.157079633,1.570796327,0,2.932389931,1.774482809,0.770059764
0.157079633,1.570796327,1.570796327,2.831715112,1.478707939,0.507953351
0.174532925,1.570796327,0,2.921971352,1.74691869,0.810621101
0.174532925,1.570796327,1.570796327,2.773746346,1.503226306,0.476356338
0.191986218,1.570796327,0,2.909678155,1.723896349,0.841108019
0.191986218,1.570796327,1.570796327,2.703118519,1.525953288,0.442268349
0.20943951,1.570796327,0,2.895576844,1.704579362,0.86259228
0.20943951,1.570796327,1.570796327,2.614871742,1.547651841,0.40647335
0.226892803,1.570796327,0,2.879846557,1.688253005,0.876628295
0.226892803,1.570796327,1.570796327,2.502339118,1.568835374,0.370485597
0.244346095,1.570796327,0,2.862649419,1.674296397,0.88473782
0.244346095,1.570796327,1.570796327,2.358034643,1.58984857,0.336939186
0.261799388,1.570796327,0,2.844125724,1.662182346,0.888218796
0.261799388,1.570796327,1.570796327,2.176525542,1.610947726,0.30964499
0,1.832595715,0,3.048623437,3.141592654,0.377851763
0,1.832595715,1.570796327,3.103254337,0,0.651648847
0.017453293,1.832595715,0,3.058624117,2.523523066,0.351338575
0.017453293,1.832595715,1.570796327,3.105592626,0.804945454,0.650311357
0.034906585,1.832595715,0,3.023276941,1.908017635,0.30287746
0.034906585,1.832595715,1.570796327,3.088024751,1.358928874,0.644033813
0.052359878,1.832595715,0,2.936059612,1.57283305,0.247887452
0.052359878,1.832595715,1.570796327,3.061660216,1.607289218,0.632840595
0.06981317,1.832595715,0,2.820138002,1.442597103,0.215171781
0.06981317,1.832595715,1.570796327,3.031042302,1.732910314,0.617227848
0.087266463,1.832595715,0,2.762661927,1.441650098,0.229608243
0.087266463,1.832595715,1.570796327,2.996989479,1.808006222,0.598395353
0.104719755,1.832595715,0,2.785691626,1.515384792,0.290313073
0.104719755,1.832595715,1.570796327,2.959246217,1.860514658,0.577280794
0.122173048,1.832595715,0,2.821617046,1.611114198,0.374624797
0.122173048,1.832595715,1.570796327,2.916739608,1.902333791,0.553739345
0.13962634,1.832595715,0,2.841471858,1.694596462,0.458222172
0.13962634,1.832595715,1.570796327,2.867509953,1.938423296,0.526845081
0.157079633,1.832595715,0,2.846544702,1.75580052,0.528507772
0.157079633,1.832595715,1.570796327,2.808431478,1.970735991,0.495876639
0.174532925,1.832595715,0,2.841988538,1.797373414,0.582896033
0.174532925,1.832595715,1.570796327,2.734982541,2.000211059,0.460746108
0.191986218,1.832595715,0,2.831322322,1.824780804,0.623102478
0.191986218,1.832595715,1.570796327,2.640655338,2.027290853,0.422319173
0.20943951,1.832595715,0,2.816468142,1.842621934,0.651807572
0.20943951,1.832595715,1.570796327,2.516530476,2.052096679,0.382747276
0.226892803,1.832595715,0,2.798416549,1.854090733,0.671345682
0.226892803,1.832595715,1.570796327,2.35256761,2.074351299,0.346070982
0.244346095,1.832595715,0,2.777677946,1.861284596,0.683502142
0.244346095,1.832595715,1.570796327,2.143696941,2.093824269,0.318260419
0.261799388,1.832595715,0,2.754416606,1.865508844,0.68957287
0.261799388,1.832595715,1.570796327,1.902592755,2.109886656,0.305692847
0,2.094395102,0,3.048623437,3.141592654,0.377851763
0,2.094395102,1.570796327,3.103254337,0,0.651648847
0.017453293,2.094395102,0,3.075463368,2.230987621,0.289793414
0.017453293,2.094395102,1.570796327,3.115127458,1.075354998,0.649777541
0.034906585,2.094395102,0,2.980723596,1.263925677,0.198057225
0.034906585,2.094395102,1.570796327,3.092339363,1.857186569,0.640106256
0.052359878,2.094395102,0,3.018698483,1.608567014,0.370121452
0.052359878,2.094395102,1.570796327,3.057511602,2.098506934,0.624265361
0.06981317,2.094395102,0,3.028853849,2.023927117,0.597231399
0.06981317,2.094395102,1.570796327,3.016610379,2.208308637,0.601975483
0.087266463,2.094395102,0,3.015579958,2.161452473,0.722700363
0.087266463,2.094395102,1.570796327,2.968227876,2.273546357,0.571628756
0.104719755,2.094395102,0,2.998457295,2.201136116,0.784714798
0.104719755,2.094395102,1.570796327,2.908764389,2.318668941,0.53276522
0.122173048,2.094395102,0,2.98004127,2.210905394,0.816704363
0.122173048,2.094395102,1.570796327,2.832041682,2.352848742,0.485642361
0.13962634,2.094395102,0,2.960785774,2.21084714,0.833598559
0.13962634,2.094395102,1.570796327,2.727837495,2.379787129,0.43166496
0.157079633,2.094395102,0,2.940765981,2.207602455,0.841931125
0.157079633,2.094395102,1.570796327,2.579925065,2.400649043,0.374636033
0.174532925,2.094395102,0,2.919909712,2.203646479,0.844649589
0.174532925,2.094395102,1.570796327,2.367694374,2.415333494,0.322487058
0.191986218,2.094395102,0,2.898065756,2.200033769,0.84321011
0.191986218,2.094395102,1.570796327,2.085715834,2.422852848,0.287614468
0.20943951,2.094395102,0,2.874734503,2.197939717,0.838323145
